Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,trait ~ nitrogen^2,Random Slope,231.7904856658838,FALSE,0.07128705539573112,0.1165951870108552,0.07458199818167278
LMA,trait ~ nitrogen^2,Random Intercept + Slope,229.14290042928528,TRUE,0.06960246682698819,0.1404002321581951,0.0066206152009793025
LDMC,trait ~ nitrogen^2,Random Intercept,862.1833772264001,FALSE,0.018785089031348713,0.6696624062621453,0.02174805599345542
LDMC,trait ~ nitrogen^2,Random Slope,909.9839098944162,FALSE,5.784206688011224e-4,0.37727789510219917,0.9286772854630143
LDMC,trait ~ nitrogen^2,Random Intercept + Slope,866.0904970152262,TRUE,0.021741235092916325,0.6527664214196782,0.028979513379215133
CHL,trait ~ nitrogen^2,Random Intercept,701.8928570863133,FALSE,0.15574076897207015,0.2059042403540057,3.6598478005793724e-5
CHL,trait ~ nitrogen^2,Random Slope,699.3376092721732,FALSE,0.12422674389960424,0.23475572480470325,0.10542849336985181
CHL,trait ~ nitrogen^2,Random Intercept + Slope,703.2840164388591,FALSE,0.12837533059946035,0.21313411204294233,0.08104185527702976
area_cm2,trait ~ nitrogen^2,Random Intercept,1351.17731127017,FALSE,0.0933881627347077,0.4417278694930827,1.2501592232041695e-4
area_cm2,trait ~ nitrogen^2,Random Slope,1353.3817874030958,FALSE,0.04462098549526405,0.40070066812950933,0.44773836548507723
area_cm2,trait ~ nitrogen^2,Random Intercept + Slope,1350.5270774065666,TRUE,0.07021174872769717,0.3566200130448502,0.16342403118393362
GRT,trait ~ nitrogen^2,Random Intercept,-467.0687091768167,FALSE,0.04556727038104396,0.43198785177786825,0.00672051389629084
GRT,trait ~ nitrogen^2,Random Slope,-440.1297328016491,FALSE,0.07795531419698697,0.24445587756962348,0.22018343444648156
GRT,trait ~ nitrogen^2,Random Intercept + Slope,-464.48495948148854,TRUE,0.02693303842079329,0.5601987799849483,0.2763108800244472
LMA,trait ~ nitrogen^3,Random Intercept,226.69096619886417,FALSE,0.04866193840172005,0.17480769676556637,0.019432606742530355
LMA,trait ~ nitrogen^3,Random Slope,235.6028377432944,TRUE,0.047887060736875535,0.047887060736875535,0.030375348927893266
LMA,trait ~ nitrogen^3,Random Intercept + Slope,232.1780065398337,TRUE,0.04782435744824666,0.0996921141935713,0.06188769508778315
LDMC,trait ~ nitrogen^3,Random Intercept,864.6406574950455,FALSE,0.01023415415240314,0.6590416942078856,0.09314178864971884
LDMC,trait ~ nitrogen^3,Random Slope,934.2978739157876,FALSE,1.1539554418644544e-6,0.9841311047264463,0.9980055025304533
LDMC,trait ~ nitrogen^3,Random Intercept + Slope,868.6437106176966,TRUE,0.010155612635192206,0.6615298056338995,0.09320971121991858
CHL,trait ~ nitrogen^3,Random Intercept,707.0685816804062,FALSE,0.1116926077573462,0.1556578667888278,5.813768707901036e-4
CHL,trait ~ nitrogen^3,Random Slope,708.2905417965683,TRUE,0.10996022448095498,0.10996022448095498,8.483015555167668e-4
CHL,trait ~ nitrogen^3,Random Intercept + Slope,709.0885880620092,TRUE,0.09350124005218459,0.16797120054221165,0.2672713524918258
area_cm2,trait ~ nitrogen^3,Random Intercept,1358.1019775679213,FALSE,0.051847984487177215,0.39279261752410494,0.005203173240903108
area_cm2,trait ~ nitrogen^3,Random Slope,1380.0607662160346,FALSE,3.572043891618982e-4,0.986281800549615,0.9649495767055751
area_cm2,trait ~ nitrogen^3,Random Intercept + Slope,1359.2473090965495,TRUE,0.03446666871764231,0.5049083651212796,0.20680669235275367
GRT,trait ~ nitrogen^3,Random Intercept,-463.4465152633207,FALSE,0.02351953183644347,0.413430205092061,0.05288675551985304
GRT,trait ~ nitrogen^3,Random Slope,-428.23573396734633,TRUE,0.032042721788635306,0.032042721788635306,0.07776758396948016
GRT,trait ~ nitrogen^3,Random Intercept + Slope,-459.9377412768296,TRUE,0.013984957791842991,0.6122847122587727,0.22826662193912756
