Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
GRT,1/sqrt(trait) ~ nitrogen,Random Intercept + Slope,599.319800153678,TRUE,0.16068634934075596,0.4099921106310831,0.23610437092257966
LMA,trait ~ nitrogen^2,Random Intercept,224.62587095269342,FALSE,0.06630128237565454,0.19259922301263493,0.006115447670497994
LMA,trait ~ nitrogen^2,Random Slope,231.7904860833637,FALSE,0.0712870529524965,0.11659518123702395,0.07458200027643459
LMA,trait ~ nitrogen^2,Random Intercept + Slope,229.70807990119368,TRUE,0.06967888835897777,0.17617673416544616,0.02790613763088353
LDMC,trait ~ nitrogen^2,Random Intercept,862.1833775063658,FALSE,0.018785088075082945,0.669662405034048,0.021748059477526144
LDMC,trait ~ nitrogen^2,Random Slope,909.9839114212782,FALSE,5.784220761772601e-4,0.3772770929179937,0.9286771119564912
LDMC,trait ~ nitrogen^2,Random Intercept + Slope,866.0909965477932,TRUE,0.02054306957011435,0.6586711116694469,0.02296445320811481
CHL,trait ~ nitrogen^2,Random Intercept,701.8928576809125,FALSE,0.1557407640740853,0.20590423463825205,3.659848957493093e-5
CHL,trait ~ nitrogen^2,Random Slope,699.3376099346981,FALSE,0.12422674043966878,0.23475571440824006,0.10542848985192076
CHL,trait ~ nitrogen^2,Random Intercept + Slope,703.253181971121,TRUE,0.12998088527850135,0.2161514729091641,0.08278209454740912
area_cm2,trait ~ nitrogen^2,Random Intercept,1351.1773120817568,FALSE,0.09338815810944476,0.4417278638170803,1.2501597608366308e-4
area_cm2,trait ~ nitrogen^2,Random Slope,1353.3817890916237,FALSE,0.04462098167551877,0.40070066726606085,0.4477383951905982
area_cm2,trait ~ nitrogen^2,Random Intercept + Slope,1350.534060331573,TRUE,0.06925172954213937,0.3621034530561154,0.17408710163670266
GRT,trait ~ nitrogen^2,Random Intercept,-467.0687087872627,FALSE,0.045567268024877344,0.4319878499611887,0.0067205153423236285
GRT,trait ~ nitrogen^2,Random Slope,-440.1297318803773,FALSE,0.07795531119478646,0.24445585680133322,0.22018342234571198
GRT,trait ~ nitrogen^2,Random Intercept + Slope,-464.49254886059657,TRUE,0.026900212196304746,0.5563759247180817,0.2846801548371247
LMA,trait ~ nitrogen^3,Random Intercept,226.69096637106583,FALSE,0.04866193691580359,0.1748076952774155,0.01943260864691822
LMA,trait ~ nitrogen^3,Random Slope,235.60283789077602,TRUE,0.047887059274899973,0.047887059274899973,0.030375351521914732
LMA,trait ~ nitrogen^3,Random Intercept + Slope,232.23900310023637,TRUE,0.04773862897488649,0.09920741005336796,0.06405575105658613
LDMC,trait ~ nitrogen^3,Random Intercept,864.640657675633,FALSE,0.010234153513819951,0.6590416933853741,0.09314179908203346
LDMC,trait ~ nitrogen^3,Random Slope,934.2978740856122,FALSE,1.1539564445912642e-6,0.9841310993627359,0.9980055016798144
LDMC,trait ~ nitrogen^3,Random Intercept + Slope,868.6411395505032,TRUE,0.010266072678938355,0.6578611718304903,0.09320106383732804
CHL,trait ~ nitrogen^3,Random Intercept,707.0685820985213,FALSE,0.1116926041348082,0.15565786159387884,5.813770046088105e-4
CHL,trait ~ nitrogen^3,Random Slope,708.2905421830955,TRUE,0.10996022090142624,0.10996022090142624,8.483017313931083e-4
CHL,trait ~ nitrogen^3,Random Intercept + Slope,709.0975098085454,TRUE,0.09210592561733595,0.17184919657877867,0.761478323414857
area_cm2,trait ~ nitrogen^3,Random Intercept,1358.101978067373,FALSE,0.05184798134810256,0.39279261388694403,0.0052031746742354085
area_cm2,trait ~ nitrogen^3,Random Slope,1380.0607666453238,FALSE,3.572044516269162e-4,0.9862817966934021,0.9649495739466127
area_cm2,trait ~ nitrogen^3,Random Intercept + Slope,1359.252767998313,TRUE,0.03456837131705952,0.5042026565457268,0.2037615745930689
GRT,trait ~ nitrogen^3,Random Intercept,-463.4465150025953,FALSE,0.02351953022971864,0.41343020374205774,0.05288676371946033
GRT,trait ~ nitrogen^3,Random Slope,-428.23573375732093,TRUE,0.032042719671671306,0.032042719671671306,0.07776759394602055
GRT,trait ~ nitrogen^3,Random Intercept + Slope,-459.94385474682673,TRUE,0.013980585429444442,0.6121584781437719,0.22620036397452736
