LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
just,inv,inv,cub,Random Intercept,-1295.6075892519134,0.5848434607849388,FALSE
log,just,inv,cub,Random Intercept,-1295.583323514335,0.5795174546126096,FALSE
just,inv_sqrt,inv,cub,Random Intercept,-1294.9941610551496,0.5703102342404495,FALSE
sqrt,sqrt,log,cub,Random Intercept,-1294.9913842505107,0.6199642023578861,FALSE
inv_sqrt,sq,inv,cub,Random Intercept,-1294.9502600361322,0.538405608962494,FALSE
sqrt,log,sqrt,cub,Random Intercept,-1294.642606466414,0.6546440255782712,FALSE
inv_sqrt,just,just,cub,Random Intercept,-1294.4516844407676,0.6961244691239871,FALSE
log,just,log,cub,Random Intercept,-1294.3302632263415,0.636930100969621,FALSE
inv_sqrt,inv,sq,cub,Random Intercept,-1294.0848733259666,0.7549785443134577,FALSE
just,inv,log,cub,Random Intercept,-1293.9712401081144,0.6177373899003468,FALSE
sqrt,sqrt,sqrt,cub,Random Intercept,-1293.773875315822,0.6341187568179538,FALSE
sqrt,just,inv_sqrt,cub,Random Intercept,-1293.7603900170411,0.5648806572166847,FALSE
inv,log,sq,cub,Random Intercept,-1293.6886839467597,0.7585277291532931,FALSE
inv_sqrt,sq,log,cub,Random Intercept,-1293.6824143261247,0.6090032534282974,FALSE
sqrt,inv,just,cub,Random Intercept,-1293.5651311378201,0.6812522832611527,FALSE
just,inv_sqrt,log,cub,Random Intercept,-1293.4934195342078,0.608438396193896,FALSE
inv_sqrt,inv_sqrt,sq,cub,Random Intercept,-1293.4108982572213,0.7486988457209962,FALSE
inv,cub,inv_sqrt,cub,Random Intercept,-1293.3979799699773,0.5391098769553174,FALSE
log,just,sqrt,cub,Random Intercept,-1293.1753960292417,0.6530654224778373,FALSE
log,log,just,cub,Random Intercept,-1293.090381932522,0.7035012777558755,FALSE
sqrt,inv_sqrt,just,cub,Random Intercept,-1293.0708606173027,0.6740427364341894,FALSE
just,log,inv_sqrt,cub,Random Intercept,-1292.673143364019,0.572098002193292,FALSE
just,inv,sqrt,cub,Random Intercept,-1292.628778722734,0.6275224025190462,FALSE
inv_sqrt,sq,sqrt,cub,Random Intercept,-1292.6176649194924,0.6296739686629181,FALSE
sqrt,just,inv,cub,Random Intercept,-1292.5143862239122,0.5332642203937122,FALSE
inv,sqrt,sq,cub,Random Intercept,-1292.399232245152,0.7427492426677776,FALSE
inv,cub,inv,cub,Random Intercept,-1292.3491499315194,0.4987727097631875,FALSE
just,inv_sqrt,sqrt,cub,Random Intercept,-1292.1896850011337,0.6193261300071556,FALSE
log,sqrt,just,cub,Random Intercept,-1292.0904287596113,0.6849644765267361,FALSE
just,sqrt,inv_sqrt,cub,Random Intercept,-1291.8561746163698,0.5466629073173036,FALSE
just,log,inv,cub,Random Intercept,-1291.4518205845534,0.5479083827804229,FALSE
sqrt,just,log,cub,Random Intercept,-1291.2327921397673,0.5915985945253821,FALSE
inv,sq,just,cub,Random Intercept,-1291.0547048772396,0.6684217497363766,FALSE
inv,cub,log,cub,Random Intercept,-1290.8703792796189,0.5755816388314142,FALSE
just,sqrt,inv,cub,Random Intercept,-1290.5993655097204,0.5187519586900051,FALSE
inv_sqrt,cub,inv_sqrt,cub,Random Intercept,-1290.5468563423672,0.5068292801782401,FALSE
log,sq,inv_sqrt,cub,Random Intercept,-1290.4210040833354,0.537313762209951,FALSE
just,log,log,cub,Random Intercept,-1290.0720705940744,0.592368839334739,FALSE
sqrt,just,sqrt,cub,Random Intercept,-1290.0588089673006,0.6080565558287415,FALSE
inv,cub,sqrt,cub,Random Intercept,-1289.8410615513576,0.5994255385431739,FALSE
inv_sqrt,log,sq,cub,Random Intercept,-1289.6954522136766,0.7370887976573904,FALSE
sqrt,log,just,cub,Random Intercept,-1289.6044641104802,0.6605781962995917,FALSE
inv_sqrt,cub,inv,cub,Random Intercept,-1289.5306434478464,0.4666225618061663,FALSE
just,sqrt,log,cub,Random Intercept,-1289.3075258306749,0.5700313689416504,FALSE
log,sq,inv,cub,Random Intercept,-1289.2465275940501,0.49942611459316955,FALSE
just,log,sqrt,cub,Random Intercept,-1288.8128237039907,0.6047713501105854,FALSE
sqrt,sqrt,just,cub,Random Intercept,-1288.7674311202447,0.6409943690072005,FALSE
inv_sqrt,sqrt,sq,cub,Random Intercept,-1288.5590358320592,0.7201363303437595,FALSE
inv,inv,cub,cub,Random Intercept,-1288.321717803906,0.7715633247973793,FALSE
just,just,inv_sqrt,cub,Random Intercept,-1288.2377615193784,0.5165403070486116,FALSE
log,just,just,cub,Random Intercept,-1288.2234679038002,0.6609849822090059,FALSE
inv,just,sq,cub,Random Intercept,-1288.2223441906278,0.7224733409229881,FALSE
just,sqrt,sqrt,cub,Random Intercept,-1288.093254552119,0.5842571308712307,FALSE
inv_sqrt,cub,log,cub,Random Intercept,-1287.9751911046958,0.5435453015145293,FALSE
log,sq,log,cub,Random Intercept,-1287.910070012494,0.570421074899727,FALSE
inv_sqrt,sq,just,cub,Random Intercept,-1287.758758760234,0.6401176556347007,FALSE
sqrt,sq,inv_sqrt,cub,Random Intercept,-1287.7340024176326,0.4939038741420669,FALSE
just,inv,just,cub,Random Intercept,-1287.54130289583,0.6325148610178566,FALSE
inv,inv_sqrt,cub,cub,Random Intercept,-1287.5135883314192,0.7648367831691116,FALSE
log,inv,sq,cub,Random Intercept,-1287.2546744564663,0.7242027662712229,FALSE
just,inv_sqrt,just,cub,Random Intercept,-1287.1187202643066,0.624673294138039,FALSE
sq,inv,inv_sqrt,cub,Random Intercept,-1287.098257892978,0.5110862573165204,FALSE
just,just,inv,cub,Random Intercept,-1286.9751255511355,0.4854233204902282,FALSE
inv_sqrt,cub,sqrt,cub,Random Intercept,-1286.90243656376,0.5677451108579455,FALSE
log,sq,sqrt,cub,Random Intercept,-1286.8084749703844,0.5914203506099981,FALSE
sq,inv_sqrt,inv_sqrt,cub,Random Intercept,-1286.6879865109202,0.5010012773842337,FALSE
log,inv_sqrt,sq,cub,Random Intercept,-1286.671976908341,0.7174581484275958,FALSE
sqrt,sq,inv,cub,Random Intercept,-1286.5679739060567,0.4574270522653839,FALSE
sq,inv,inv,cub,Random Intercept,-1285.8443677144219,0.4912092106495621,FALSE
just,just,log,cub,Random Intercept,-1285.7232162383411,0.542868815216681,FALSE
sq,inv_sqrt,inv,cub,Random Intercept,-1285.3826835771292,0.4788641084997881,FALSE
sqrt,sq,log,cub,Random Intercept,-1285.2070509441942,0.5261025253565119,FALSE
log,cub,inv_sqrt,cub,Random Intercept,-1285.1563027003526,0.4697732650187676,FALSE
sqrt,just,just,cub,Random Intercept,-1285.0860287622156,0.6160584015017162,FALSE
inv,cub,just,cub,Random Intercept,-1285.0535558365389,0.6118996942740589,FALSE
inv_sqrt,just,sq,cub,Random Intercept,-1284.5496451516476,0.6982338423352604,FALSE
just,just,sqrt,cub,Random Intercept,-1284.548427101628,0.5589859821606991,FALSE
sq,inv,log,cub,Random Intercept,-1284.5140300048656,0.5275706181974574,FALSE
log,cub,inv,cub,Random Intercept,-1284.1593286744164,0.4313179367881396,FALSE
sq,inv_sqrt,log,cub,Random Intercept,-1284.154019213758,0.5191137190914179,FALSE
inv_sqrt,inv,cub,cub,Random Intercept,-1284.112800214363,0.7510851509201733,FALSE
sqrt,sq,sqrt,cub,Random Intercept,-1284.0822874566395,0.5466092633318844,FALSE
just,log,just,cub,Random Intercept,-1283.766084419407,0.6107026873453565,FALSE
inv,log,cub,cub,Random Intercept,-1283.6500795607615,0.7532181546919241,FALSE
sqrt,inv,sq,cub,Random Intercept,-1283.5240445730715,0.6829127439340382,FALSE
inv_sqrt,inv_sqrt,cub,cub,Random Intercept,-1283.4023924759665,0.7441031697462835,FALSE
sq,log,inv_sqrt,cub,Random Intercept,-1283.3983428604124,0.4862527372674592,FALSE
sq,inv,sqrt,cub,Random Intercept,-1283.2440460088442,0.5373416696585531,FALSE
log,log,sq,cub,Random Intercept,-1283.089034330592,0.7049216045227009,FALSE
just,sqrt,just,cub,Random Intercept,-1283.075992713502,0.5909779488492883,FALSE
sqrt,inv_sqrt,sq,cub,Random Intercept,-1283.0251432898708,0.6754292279030635,FALSE
sq,inv_sqrt,sqrt,cub,Random Intercept,-1282.916599037503,0.5296344484197176,FALSE
sq,sqrt,inv_sqrt,cub,Random Intercept,-1282.8212551578067,0.4682964494050239,FALSE
sqrt,cub,inv_sqrt,cub,Random Intercept,-1282.8089441707662,0.43460358424050666,FALSE
just,sq,inv_sqrt,cub,Random Intercept,-1282.5709472143362,0.4547396120955044,FALSE
log,cub,log,cub,Random Intercept,-1282.5532989870756,0.5053932234221211,FALSE
inv,sqrt,cub,cub,Random Intercept,-1282.362637906998,0.7367226446684615,FALSE
log,sqrt,sq,cub,Random Intercept,-1282.116519924906,0.6866172510297318,FALSE
inv_sqrt,cub,just,cub,Random Intercept,-1282.07965035704,0.5804456844674607,FALSE
sq,log,inv,cub,Random Intercept,-1282.0533617288636,0.46192128673627003,FALSE
log,sq,just,cub,Random Intercept,-1281.9188391396935,0.6020210002412889,FALSE
sqrt,cub,inv,cub,Random Intercept,-1281.811500163377,0.4003932519117816,FALSE
sq,sqrt,inv,cub,Random Intercept,-1281.455801619743,0.442366537215494,FALSE
log,cub,sqrt,cub,Random Intercept,-1281.4439159275382,0.5290979184793979,FALSE
just,sq,inv,cub,Random Intercept,-1281.38811159005,0.4218036667205892,FALSE
inv,sq,sq,cub,Random Intercept,-1281.2963637222736,0.6718877242912408,FALSE
sq,log,log,cub,Random Intercept,-1280.912631362243,0.5060901950481917,FALSE
sq,sqrt,log,cub,Random Intercept,-1280.3749422965948,0.48958079293798457,FALSE
sqrt,cub,log,cub,Random Intercept,-1280.1942926632726,0.4668699652451227,FALSE
just,sq,log,cub,Random Intercept,-1280.0536576379845,0.4840799988594641,FALSE
sq,log,sqrt,cub,Random Intercept,-1279.7122732768648,0.5174895587746676,FALSE
inv_sqrt,log,cub,cub,Random Intercept,-1279.667302709761,0.7317204275300966,FALSE
sqrt,log,sq,cub,Random Intercept,-1279.5697723146525,0.6618695786464923,FALSE
just,just,just,cub,Random Intercept,-1279.5622982062582,0.566594645917425,FALSE
sq,just,inv_sqrt,cub,Random Intercept,-1279.4651327603078,0.4494309677263067,FALSE
