LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,BIC,AICc,R2,Singular_fit
cub,just,just,inv,Random Slope,1331.784274,1370.404939,1337.7102,0.992146879,TRUE
cub,just,just,inv,Random Slope + Intercept,1331.784274,1370.404939,1337.7102,0.992146879,TRUE
cub,just,just,inv_sqrt,Random Intercept,621.8628994,637.3111653,622.7962328,0.645569443,FALSE
cub,just,just,inv_sqrt,Random Slope,625.5014858,664.1221505,631.4274117,0.999876462,TRUE
cub,just,just,inv_sqrt,Random Slope + Intercept,625.5014858,664.1221505,631.4274117,0.999876462,TRUE
cub,just,just,sq,Random Intercept,-836.6955164,-821.2472505,-835.762183,0.619764105,FALSE
cub,just,just,sq,Random Slope,-832.0239951,-793.4033304,-826.0980692,0.965844339,TRUE
cub,just,just,sq,Random Slope + Intercept,-832.0239951,-793.4033304,-826.0980692,0.965844339,TRUE
cub,just,just,cub,Random Intercept,-1263.511692,-1248.063426,-1262.578359,0.46603943,FALSE
cub,just,just,cub,Random Slope,-1253.35783,-1214.737166,-1247.431904,0.993167784,TRUE
cub,just,just,cub,Random Slope + Intercept,-1253.35783,-1214.737166,-1247.431904,0.993167784,TRUE
just,log,just,just,Random Intercept,-448.9525382,-433.5042724,-448.0192049,0.848574381,FALSE
just,log,just,just,Random Slope,-453.5565812,-414.9359165,-447.6306553,0.896417435,FALSE
just,log,just,just,Random Slope + Intercept,-453.5565812,-414.9359165,-447.6306553,0.896417435,FALSE
sqrt,inv_sqrt,inv,log,Random Slope + Intercept,192.9836926,231.6043573,198.9096185,0.93661873,FALSE
just,log,just,log,Random Slope,231.9352745,270.5559391,237.8612004,0.893592587,TRUE
just,log,just,log,Random Slope + Intercept,231.9352745,270.5559391,237.8612004,0.893592587,TRUE
just,log,just,sqrt,Random Intercept,-267.3732939,-251.925028,-266.4399606,0.868290242,FALSE
just,log,just,sqrt,Random Slope,-270.1742294,-231.5535648,-264.2483035,0.95384288,TRUE
just,log,just,sqrt,Random Slope + Intercept,-270.1742294,-231.5535648,-264.2483035,0.95384288,TRUE
just,log,just,inv,Random Intercept,1296.176664,1311.62493,1297.109997,0.613863925,FALSE
just,log,just,inv,Random Slope,1286.750984,1325.371648,1292.676909,0.727277693,TRUE
just,log,just,inv,Random Slope + Intercept,1286.750984,1325.371648,1292.676909,0.727277693,TRUE
just,log,just,inv_sqrt,Random Intercept,594.3291514,609.7774173,595.2624847,0.762722942,FALSE
just,log,just,inv_sqrt,Random Slope,580.4417795,619.0624442,586.3677054,0.8575049,TRUE
just,log,just,inv_sqrt,Random Slope + Intercept,580.4417795,619.0624442,586.3677054,0.8575049,TRUE
just,log,just,sq,Random Intercept,-862.9746145,-847.5263486,-862.0412812,0.757231478,FALSE
just,log,just,sq,Random Slope,-876.8074679,-838.1868032,-870.881542,0.786741046,TRUE
just,log,just,sq,Random Slope + Intercept,-876.8074679,-838.1868032,-870.881542,0.786741046,TRUE
just,log,just,cub,Random Intercept,-1283.766084,-1268.317819,-1282.832751,0.610702687,FALSE
just,log,just,cub,Random Slope,-1308.70415,-1270.083486,-1302.778224,0.885435905,TRUE
just,log,just,cub,Random Slope + Intercept,-1308.70415,-1270.083486,-1302.778224,0.885435905,TRUE
log,log,just,just,Random Intercept,-460.7077148,-445.2594489,-459.7743815,0.863314331,FALSE
log,log,just,just,Random Slope,-461.4675151,-422.8468505,-455.5415892,0.940146142,TRUE
log,log,just,just,Random Slope + Intercept,-461.4675151,-422.8468505,-455.5415892,0.940146142,TRUE
just,inv,inv_sqrt,log,Random Slope,196.6615129,235.2821775,202.5874388,0.913271044,FALSE
log,log,just,log,Random Slope,230.7062475,269.3269122,236.6321734,0.873053092,TRUE
log,log,just,log,Random Slope + Intercept,230.7062475,269.3269122,236.6321734,0.873053092,TRUE
log,log,just,sqrt,Random Intercept,-278.7860671,-263.3378012,-277.8527338,0.875825039,FALSE
log,log,just,sqrt,Random Slope,-272.2107968,-233.5901321,-266.2848709,0.917923809,TRUE
log,log,just,sqrt,Random Slope + Intercept,-272.2107968,-233.5901321,-266.2848709,0.917923809,TRUE
log,log,just,inv,Random Intercept,1285.384063,1300.832329,1286.317397,0.641832633,FALSE
log,log,just,inv,Random Slope,1285.515218,1324.135883,1291.441144,0.578157536,TRUE
log,log,just,inv,Random Slope + Intercept,1285.515218,1324.135883,1291.441144,0.578157536,TRUE
log,log,just,inv_sqrt,Random Intercept,583.5029204,598.9511863,584.4362538,0.773695537,FALSE
log,log,just,inv_sqrt,Random Slope,585.6480593,624.2687239,591.5739852,0.795676163,TRUE
log,log,just,inv_sqrt,Random Slope + Intercept,585.6480593,624.2687239,591.5739852,0.795676163,TRUE
log,log,just,sq,Random Intercept,-874.058951,-858.6106851,-873.1256176,0.80106045,FALSE
log,log,just,sq,Random Slope,-893.7264372,-855.1057726,-887.8005113,0.951106063,TRUE
log,log,just,sq,Random Slope + Intercept,-893.7264372,-855.1057726,-887.8005113,0.951106063,TRUE
log,log,just,cub,Random Intercept,-1293.090382,-1277.642116,-1292.157049,0.703501278,FALSE
log,log,just,cub,Random Slope,-1327.435947,-1288.815282,-1321.510021,0.959416271,TRUE
log,log,just,cub,Random Slope + Intercept,-1327.435947,-1288.815282,-1321.510021,0.959416271,TRUE
sqrt,log,just,just,Random Intercept,-456.3418992,-440.8936333,-455.4085658,0.858170433,FALSE
sqrt,log,just,just,Random Slope,-462.3654682,-423.7448035,-456.4395423,0.967070529,TRUE
sqrt,log,just,just,Random Slope + Intercept,-462.3654682,-423.7448035,-456.4395423,0.967070529,TRUE
just,inv,inv_sqrt,log,Random Slope + Intercept,196.6615129,235.2821775,202.5874388,0.913271044,FALSE
sqrt,log,just,log,Random Slope,228.0220195,266.6426842,233.9479454,0.910447991,TRUE
sqrt,log,just,log,Random Slope + Intercept,228.0220195,266.6426842,233.9479454,0.910447991,TRUE
sqrt,log,just,sqrt,Random Intercept,-274.7053545,-259.2570887,-273.7720212,0.874332663,FALSE
sqrt,log,just,sqrt,Random Slope,-271.2260195,-232.6053548,-265.3000935,0.909172495,TRUE
sqrt,log,just,sqrt,Random Slope + Intercept,-271.2260195,-232.6053548,-265.3000935,0.909172495,TRUE
sqrt,log,just,inv,Random Intercept,1289.288075,1304.736341,1290.221409,0.633647574,FALSE
sqrt,log,just,inv,Random Slope,1278.469586,1317.090251,1284.395512,0.753038214,TRUE
sqrt,log,just,inv,Random Slope + Intercept,1278.469586,1317.090251,1284.395512,0.753038214,TRUE
sqrt,log,just,inv_sqrt,Random Intercept,587.3280422,602.7763081,588.2613755,0.772480843,FALSE
sqrt,log,just,inv_sqrt,Random Slope,574.6638628,613.2845275,580.5897888,0.749604663,TRUE
sqrt,log,just,inv_sqrt,Random Slope + Intercept,574.6638628,613.2845275,580.5897888,0.749604663,TRUE
sqrt,log,just,sq,Random Intercept,-869.8310495,-854.3827837,-868.8977162,0.782041382,FALSE
sqrt,log,just,sq,Random Slope,-892.0517796,-853.4311149,-886.1258537,0.969582487,TRUE
sqrt,log,just,sq,Random Slope + Intercept,-892.0517796,-853.4311149,-886.1258537,0.969582487,TRUE
sqrt,log,just,cub,Random Intercept,-1289.604464,-1274.156198,-1288.671131,0.660578196,FALSE
sqrt,log,just,cub,Random Slope,-1323.634691,-1285.014026,-1317.708765,0.952118281,TRUE
sqrt,log,just,cub,Random Slope + Intercept,-1323.634691,-1285.014026,-1317.708765,0.952118281,TRUE
inv,log,just,just,Random Intercept,-471.0545088,-455.6062429,-470.1211755,0.860796361,FALSE
inv,log,just,just,Random Slope,-467.1234049,-428.5027402,-461.197479,0.90631062,TRUE
inv,log,just,just,Random Slope + Intercept,-467.1234049,-428.5027402,-461.197479,0.90631062,TRUE
inv,inv,inv_sqrt,log,Random Intercept,197.3307584,212.7790243,198.2640917,0.851651732,FALSE
inv,log,just,log,Random Slope,227.8394562,266.4601209,233.7653822,0.854084065,TRUE
inv,log,just,log,Random Slope + Intercept,227.8394562,266.4601209,233.7653822,0.854084065,TRUE
inv,log,just,sqrt,Random Intercept,-288.0800193,-272.6317534,-287.1466859,0.865788107,FALSE
inv,log,just,sqrt,Random Slope,-278.0615054,-239.4408407,-272.1355794,0.89247962,TRUE
inv,log,just,sqrt,Random Slope + Intercept,-278.0615054,-239.4408407,-272.1355794,0.89247962,TRUE
inv,log,just,inv,Random Intercept,1275.635876,1291.084142,1276.56921,0.624375185,FALSE
inv,log,just,inv,Random Slope,1281.242667,1319.863332,1287.168593,0.661452642,TRUE
inv,log,just,inv,Random Slope + Intercept,1281.242667,1319.863332,1287.168593,0.661452642,TRUE
inv,log,just,inv_sqrt,Random Intercept,574.3943668,589.8426327,575.3277001,0.751842077,FALSE
inv,log,just,inv_sqrt,Random Slope,578.5855219,617.2061866,584.5114478,0.761335673,TRUE
inv,log,just,inv_sqrt,Random Slope + Intercept,578.5855219,617.2061866,584.5114478,0.761335673,TRUE
inv,log,just,sq,Random Intercept,-885.1936107,-869.7453448,-884.2602773,0.820438358,FALSE
inv,log,just,sq,Random Slope,-899.4468077,-860.826143,-893.5208817,0.920833576,TRUE
inv,log,just,sq,Random Slope + Intercept,-899.4468077,-860.826143,-893.5208817,0.920833576,TRUE
inv,log,just,cub,Random Intercept,-1303.65316,-1288.204894,-1302.719827,0.757465419,FALSE
inv,log,just,cub,Random Slope,-1334.156861,-1295.536197,-1328.230936,0.924918345,TRUE
inv,log,just,cub,Random Slope + Intercept,-1334.156861,-1295.536197,-1328.230936,0.924918345,TRUE
inv_sqrt,log,just,just,Random Intercept,-467.4732581,-452.0249923,-466.5399248,0.86402593,FALSE
inv_sqrt,log,just,just,Random Slope,-465.4052941,-426.7846294,-459.4793681,0.917359225,TRUE
inv_sqrt,log,just,just,Random Slope + Intercept,-465.4052941,-426.7846294,-459.4793681,0.917359225,TRUE
sqrt,log,inv,log,Random Slope,197.888041,236.5087057,203.8139669,0.940531071,FALSE
inv_sqrt,log,just,log,Random Slope,229.285295,267.9059597,235.211221,0.868338892,TRUE
inv_sqrt,log,just,log,Random Slope + Intercept,229.285295,267.9059597,235.211221,0.868338892,TRUE
inv_sqrt,log,just,sqrt,Random Intercept,-285.0786451,-269.6303793,-284.1453118,0.872819072,FALSE
inv_sqrt,log,just,sqrt,Random Slope,-276.5800077,-237.959343,-270.6540818,0.906070716,TRUE
inv_sqrt,log,just,sqrt,Random Slope + Intercept,-276.5800077,-237.959343,-270.6540818,0.906070716,TRUE
inv_sqrt,log,just,inv,Random Intercept,1278.983726,1294.431992,1279.91706,0.638226818,FALSE
inv_sqrt,log,just,inv,Random Slope,1284.477841,1323.098506,1290.403767,0.643010768,TRUE
inv_sqrt,log,just,inv,Random Slope + Intercept,1284.477841,1323.098506,1290.403767,0.643010768,TRUE
inv_sqrt,log,just,inv_sqrt,Random Intercept,577.3595208,592.8077866,578.2928541,0.766470979,FALSE
inv_sqrt,log,just,inv_sqrt,Random Slope,580.5052573,619.125922,586.4311832,0.751918431,TRUE
inv_sqrt,log,just,inv_sqrt,Random Slope + Intercept,580.5052573,619.125922,586.4311832,0.751918431,TRUE
inv_sqrt,log,just,sq,Random Intercept,-881.0714036,-865.6231378,-880.1380703,0.813690313,FALSE
inv_sqrt,log,just,sq,Random Slope,-897.0873191,-858.4666544,-891.1613932,0.925315205,TRUE
inv_sqrt,log,just,sq,Random Slope + Intercept,-897.0873191,-858.4666544,-891.1613932,0.925315205,TRUE
inv_sqrt,log,just,cub,Random Intercept,-1299.672672,-1284.224406,-1298.739339,0.735798116,FALSE
inv_sqrt,log,just,cub,Random Slope,-1330.89679,-1292.276125,-1324.970864,0.911104093,TRUE
inv_sqrt,log,just,cub,Random Slope + Intercept,-1330.89679,-1292.276125,-1324.970864,0.911104093,TRUE
sq,log,just,just,Random Intercept,-435.4281757,-419.9799098,-434.4948424,0.818740219,FALSE
sq,log,just,just,Random Slope,-439.2794059,-400.6587412,-433.3534799,0.902555182,TRUE
sq,log,just,just,Random Slope + Intercept,-439.2794059,-400.6587412,-433.3534799,0.902555182,TRUE
sqrt,log,inv,log,Random Slope + Intercept,197.888041,236.5087057,203.8139669,0.940531071,FALSE
inv,sqrt,inv,log,Random Slope,198.2479445,236.8686092,204.1738704,0.874354959,FALSE
inv,sqrt,inv,log,Random Slope + Intercept,198.2479445,236.8686092,204.1738704,0.874354959,FALSE
sq,log,just,sqrt,Random Intercept,-253.3796044,-237.9313385,-252.4462711,0.844583884,FALSE
sq,log,just,sqrt,Random Slope,-255.9483442,-217.3276795,-250.0224183,0.942281895,TRUE
sq,log,just,sqrt,Random Slope + Intercept,-255.9483442,-217.3276795,-250.0224183,0.942281895,TRUE
sq,log,just,inv,Random Intercept,1308.803887,1324.252153,1309.737221,0.550187205,FALSE
sq,log,just,inv,Random Slope,1296.950262,1335.570927,1302.876188,0.810880408,TRUE
sq,log,just,inv,Random Slope + Intercept,1296.950262,1335.570927,1302.876188,0.810880408,TRUE
sq,log,just,inv_sqrt,Random Intercept,607.6048778,623.0531436,608.5382111,0.722040362,FALSE
sq,log,just,inv_sqrt,Random Slope,595.576863,634.1975276,601.5027889,0.953713194,TRUE
sq,log,just,inv_sqrt,Random Slope + Intercept,595.576863,634.1975276,601.5027889,0.953713194,TRUE
sq,log,just,sq,Random Intercept,-851.3689179,-835.920652,-850.4355845,0.699312028,FALSE
sq,log,just,sq,Random Slope,-851.7856199,-813.1649553,-845.859694,0.833746844,TRUE
sq,log,just,sq,Random Slope + Intercept,-851.7856199,-813.1649553,-845.859694,0.833746844,TRUE
sq,log,just,cub,Random Intercept,-1274.669302,-1259.221036,-1273.735968,0.522046416,FALSE
sq,log,just,cub,Random Slope,-1283.240402,-1244.619737,-1277.314476,0.858844403,TRUE
sq,log,just,cub,Random Slope + Intercept,-1283.240402,-1244.619737,-1277.314476,0.858844403,TRUE
cub,log,just,just,Random Intercept,-422.9722028,-407.5239369,-422.0388695,0.783074567,FALSE
