LDMC_trans,LMA_trans,CHL_trans,Model,AIC,R2,Singular_fit
sqrt,identity,sqrt,Random Slope + Intercept,-470.5378609,0.970012029,TRUE
inv,identity,sqrt,Random Intercept,-469.6620338,0.831554724,FALSE
inv,identity,sqrt,Random Slope,-473.7847137,0.769899489,TRUE
inv,identity,sqrt,Random Slope + Intercept,-479.5411872,0.965071348,TRUE
inv_sqrt,identity,sqrt,Random Intercept,-466.1900385,0.835158523,FALSE
inv_sqrt,identity,sqrt,Random Slope,-471.8339053,0.781742623,TRUE
inv_sqrt,identity,sqrt,Random Slope + Intercept,-477.5893394,0.969410462,FALSE
sq,identity,sqrt,Random Intercept,-435.8944623,0.791993983,FALSE
sq,identity,sqrt,Random Slope,-444.896304,0.971978255,TRUE
sq,identity,sqrt,Random Slope + Intercept,-454.7054901,0.949734447,TRUE
cub,identity,sqrt,Random Intercept,-424.0291253,0.758474323,FALSE
cub,identity,sqrt,Random Slope,-432.1110935,0.984103322,TRUE
cub,identity,sqrt,Random Slope + Intercept,-427.293332,0.989135073,TRUE
identity,log,sqrt,Random Intercept,-455.6857247,0.848744891,FALSE
identity,log,sqrt,Random Slope,-465.2688854,0.827714662,TRUE
identity,log,sqrt,Random Slope + Intercept,-464.7148828,0.861032441,FALSE
log,log,sqrt,Random Intercept,-467.404523,0.862998463,FALSE
log,log,sqrt,Random Slope,-473.667079,0.812209309,TRUE
log,log,sqrt,Random Slope + Intercept,-477.9784175,0.968201342,TRUE
sqrt,log,sqrt,Random Intercept,-463.0603252,0.858090745,FALSE
sqrt,log,sqrt,Random Slope,-471.0118574,0.821177639,TRUE
sqrt,log,sqrt,Random Slope + Intercept,-475.557262,0.967278705,TRUE
inv,log,sqrt,Random Intercept,-477.7020389,0.860057195,FALSE
inv,log,sqrt,Random Slope,-480.9643057,0.791365389,FALSE
inv,log,sqrt,Random Slope + Intercept,-484.9129885,0.969925512,TRUE
inv_sqrt,log,sqrt,Random Intercept,-474.1449849,0.863488383,FALSE
inv_sqrt,log,sqrt,Random Slope,-478.8130829,0.802115106,TRUE
inv_sqrt,log,sqrt,Random Slope + Intercept,-482.9130571,0.969051896,TRUE
sq,log,sqrt,Random Intercept,-442.1670925,0.819447181,FALSE
sq,log,sqrt,Random Slope,-450.3630489,0.943625357,TRUE
sq,log,sqrt,Random Slope + Intercept,-456.6196281,0.944198003,TRUE
cub,log,sqrt,Random Intercept,-429.6948441,0.784300308,FALSE
cub,log,sqrt,Random Slope,-422.9355976,0.999981357,TRUE
cub,log,sqrt,Random Slope + Intercept,-433.6991685,0.983547174,TRUE
identity,sqrt,sqrt,Random Intercept,-453.609628,0.836608962,FALSE
identity,sqrt,sqrt,Random Slope,-462.7638552,0.799631402,TRUE
identity,sqrt,sqrt,Random Slope + Intercept,-460.8502613,0.822729037,TRUE
log,sqrt,sqrt,Random Intercept,-464.9781541,0.850735233,FALSE
log,sqrt,sqrt,Random Slope,-471.8893105,0.804841348,TRUE
log,sqrt,sqrt,Random Slope + Intercept,-476.9231461,0.969277515,TRUE
sqrt,sqrt,sqrt,Random Intercept,-460.794375,0.845925891,FALSE
sqrt,sqrt,sqrt,Random Slope,-469.4201146,0.815009374,TRUE
sqrt,sqrt,sqrt,Random Slope + Intercept,-474.6618202,0.968938075,FALSE
inv,sqrt,sqrt,Random Intercept,-475.1135184,0.847425492,FALSE
inv,sqrt,sqrt,Random Slope,-478.8935006,0.781830517,TRUE
inv,sqrt,sqrt,Random Slope + Intercept,-483.6679685,0.963416813,FALSE
inv_sqrt,sqrt,sqrt,Random Intercept,-471.6080158,0.851054747,FALSE
inv_sqrt,sqrt,sqrt,Random Slope,-476.8713229,0.793490685,TRUE
inv_sqrt,sqrt,sqrt,Random Slope + Intercept,-481.7639715,0.969309303,TRUE
sq,sqrt,sqrt,Random Intercept,-440.4698415,0.807392448,FALSE
sq,sqrt,sqrt,Random Slope,-449.4539557,0.965727269,TRUE
sq,sqrt,sqrt,Random Slope + Intercept,-447.123466,0.907248211,TRUE
cub,sqrt,sqrt,Random Intercept,-428.2911514,0.772775055,FALSE
cub,sqrt,sqrt,Random Slope,-430.2172987,0.998735678,TRUE
cub,sqrt,sqrt,Random Slope + Intercept,-430.4108418,0.956669381,TRUE
identity,inv,sqrt,Random Intercept,-461.59735,0.861912449,FALSE
identity,inv,sqrt,Random Slope,-469.2273715,0.825641632,FALSE
identity,inv,sqrt,Random Slope + Intercept,-463.2289197,0.849576214,FALSE
log,inv,sqrt,Random Intercept,-473.8930374,0.876623113,FALSE
log,inv,sqrt,Random Slope,-478.5142238,0.819082989,TRUE
log,inv,sqrt,Random Slope + Intercept,-481.2497572,0.963961975,FALSE
sqrt,inv,sqrt,Random Intercept,-469.2689037,0.87134621,FALSE
sqrt,inv,sqrt,Random Slope,-475.4474445,0.826750274,FALSE
sqrt,inv,sqrt,Random Slope + Intercept,-472.1850384,0.872608183,TRUE
inv,inv,sqrt,Random Intercept,-484.5848996,0.875140584,FALSE
inv,inv,sqrt,Random Slope,-486.5980173,0.802305462,FALSE
inv,inv,sqrt,Random Slope + Intercept,-488.9595901,0.968005766,TRUE
inv_sqrt,inv,sqrt,Random Intercept,-480.8660167,0.877751818,FALSE
inv_sqrt,inv,sqrt,Random Slope,-484.0697711,0.811088445,FALSE
inv_sqrt,inv,sqrt,Random Slope + Intercept,-486.6329868,0.966053054,TRUE
sq,inv,sqrt,Random Intercept,-447.53235,0.83293674,FALSE
sq,inv,sqrt,Random Slope,-457.6408102,0.858664993,TRUE
sq,inv,sqrt,Random Slope + Intercept,-450.7059073,0.898479755,TRUE
cub,inv,sqrt,Random Intercept,-434.6486483,0.797922501,FALSE
cub,inv,sqrt,Random Slope,-425.2097151,0.999986693,TRUE
cub,inv,sqrt,Random Slope + Intercept,-428.9511231,0.997610185,TRUE
